Net Income (in millions),Close NASDQ,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0.277413752,0.022363745,0.409470752,0.496279967,0.209302326,0.528150134,0.019291542,0.013538663,0.192330827,0.007301909,0.523626531,0.288888889,0.168144269,0,0.096185267,0.204391434,0.009080962,0.481964424,0.492391768,0.506112932,0.293442188,0.175158276
0.277413752,0.022060762,0.388231198,0.481399835,0.207188161,0.509383378,0.019599601,0.013709667,0.19280757,0.007798579,0.522695367,0.288888889,0.16856668,0,0.095417846,0.202313183,0.009475787,0.483861276,0.494406953,0.508348902,0.286671977,0.178022309
0.277413752,0.023064718,0.373955432,0.491319923,0.203382664,0.504021448,0.019907661,0.013880672,0.193284309,0.008295247,0.521764204,0.288888889,0.168989089,0,0.094650424,0.200234933,0.009870611,0.485758128,0.496422138,0.510584872,0.279901765,0.180886343
0.277413752,0.02383906,0.380222841,0.507026729,0.194926004,0.487935657,0.020215721,0.014051676,0.193761052,0.008791918,0.520833037,0.288888889,0.1694115,0,0.093883003,0.198156682,0.010265435,0.487654981,0.498437322,0.512820842,0.273131555,0.183750377
0.277413752,0.026918555,0.36281337,0.499586663,0.226638478,0.504021448,0.020523781,0.014222678,0.194237792,0.009288586,0.519901873,0.288888889,0.16983391,0,0.093115581,0.196078431,0.010660261,0.489551833,0.500452507,0.515056813,0.266361344,0.186614411
0.277413752,0.028701493,0.360027855,0.495728851,0.226215645,0.506702413,0.020831841,0.014393683,0.194714535,0.009785256,0.518970709,0.288888889,0.170256321,0,0.092348159,0.194000181,0.011055085,0.491448685,0.502467692,0.517292783,0.259591132,0.189478444
0.277413752,0.031508142,0.343662953,0.497933315,0.238266385,0.512064343,0.02144796,0.014564687,0.195191274,0.010281926,0.518039543,0.288888889,0.170678732,0,0.091580738,0.19192193,0.011449908,0.493345537,0.504482877,0.519528753,0.252820921,0.192342478
0.277413752,0.033259104,0.334610028,0.485533205,0.249894292,0.522788204,0.02175602,0.01473569,0.195668014,0.010778594,0.517108379,0.288888889,0.171101141,0,0.090813316,0.189843679,0.011844734,0.49524239,0.506498062,0.521764723,0.24605071,0.195206512
0.277413752,0.036728136,0.341573816,0.485533205,0.246300211,0.533512064,0.02206408,0.014906694,0.196144757,0.011275264,0.516177215,0.288888889,0.171523552,0,0.090045895,0.187765429,0.012239558,0.497139242,0.508513247,0.524000693,0.239280499,0.198070546
0.277413752,0.036300973,0.363509749,0.488839901,0.229175476,0.517426273,0.02237214,0.015077698,0.196621497,0.011771932,0.515246049,0.288888889,0.171945961,0,0.089278473,0.185687178,0.012634382,0.499036094,0.510528432,0.526236664,0.232510288,0.200934579
0.277413752,0.038528991,0.347493036,0.475337559,0.218604651,0.509383378,0.0226802,0.015248703,0.19709824,0.012268602,0.514314885,0.288888889,0.172368372,0,0.08774363,0.183608927,0.013029207,0.502829799,0.512543617,0.528472634,0.225740077,0.203798613
0.277413752,0.041104188,0.325557103,0.485533205,0.231712474,0.512064343,0.023296319,0.015590709,0.198051722,0.013261941,0.512452555,0.288888889,0.173213192,0,0.086208787,0.179452426,0.013818855,0.504726651,0.514558802,0.530708604,0.218969866,0.206662647
